Symbol,Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
XLE|20231020|90.00P,XLE,88.52,Put,90,2023-10-20,17,2.64,2.66,2.67,2.8,709,13509,"-2,453",24.33%,"14:40 ET"
SPY|20231013|425.00P,SPY,421.16,Put,425,2023-10-13,10,6.95,6.96,6.97,7.16,11424,18628,"-2,413",17.67%,"15:15 ET"
IWM|20231117|155.00P,IWM,171.2,Put,155,2023-11-17,45,1.05,1.06,1.07,1.07,3860,7551,"-2,375",26.88%,"15:20 ET"
TLT|20231020|98.00P,TLT,85.07,Put,98,2023-10-20,17,12.9,12.95,13,13,5111,1554,"-2,349",38.31%,"15:11 ET"
EEM|20231020|41.00P,EEM,37.28,Put,41,2023-10-20,17,3.65,3.72,3.8,3.75,5870,4147,"-2,300",27.31%,"15:12 ET"
XBI|20231020|72.00P,XBI,70.5,Put,72,2023-10-20,17,2.5,2.54,2.57,2.73,5951,5785,"-2,069",29.66%,"12:37 ET"
QQQ|20231117|355.00P,QQQ,354.2,Put,355,2023-11-17,45,10.64,10.66,10.67,10.68,1840,28641,"-2,014",22.48%,"15:18 ET"
HYG|20231117|71.00P,HYG,72.19,Put,71,2023-11-17,45,0.63,0.67,0.7,0.65,3344,144977,"-1,982",12.60%,"15:01 ET"
TLT|20231020|96.00P,TLT,85.07,Put,96,2023-10-20,17,10.9,10.95,11,10.99,1834,530,"-1,899",33.09%,"15:12 ET"
SPY|20231020|433.00P,SPY,421.16,Put,433,2023-10-20,17,13.08,13.13,13.17,13.4,905,13731,"-1,840",15.40%,"15:12 ET"
SPXS|20231020|20.00C,SPXS,16.49,Call,20,2023-10-20,17,0.14,0.15,0.15,0.14,786,4601,"-1,821",70.26%,"15:14 ET"
XLF|20231006|32.00P,XLF,32.31,Put,32,2023-10-06,3,0.15,0.16,0.16,0.16,502,3308,"-1,742",24.51%,"15:16 ET"
TLT|20231020|99.00P,TLT,85.07,Put,99,2023-10-20,17,13.9,13.95,14,14,696,264,"-1,704",40.51%,"15:11 ET"
IWM|20231006|172.50P,IWM,171.2,Put,172.5,2023-10-06,3,2.32,2.33,2.34,2.36,1396,4864,"-1,530",24.03%,"15:07 ET"
SPY|20231215|390.00P,SPY,421.16,Put,390,2023-12-15,73,4.36,4.37,4.37,4.41,2310,60768,"-1,444",22.16%,"15:11 ET"
SPY|20231020|445.00P,SPY,421.16,Put,445,2023-10-20,17,23.89,24.03,24.16,24.35,25056,34093,"-1,390",17.39%,"15:16 ET"
XHB|20231020|73.00P,XHB,73.73,Put,73,2023-10-20,17,1.6,1.63,1.65,1.55,8740,3254,"-1,364",30.63%,"14:52 ET"
SPY|20231020|415.00P,SPY,421.16,Put,415,2023-10-20,17,4.09,4.1,4.1,4.1,33031,97231,"-1,361",19.30%,"15:21 ET"
QQQ|20231020|330.00P,QQQ,354.2,Put,330,2023-10-20,17,1.18,1.19,1.19,1.19,2842,35037,"-1,294",28.23%,"15:21 ET"
QQQ|20231215|350.00C,QQQ,354.2,Call,350,2023-12-15,73,18.9,18.94,18.97,19,1043,29129,"-1,292",23.67%,"15:20 ET"
TLT|20231013|90.00C,TLT,85.07,Call,90,2023-10-13,10,0.18,0.19,0.19,0.19,2191,7264,"-1,289",26.58%,"15:20 ET"
USO|20231006|82.00C,USO,79.85,Call,82,2023-10-06,3,0.26,0.28,0.3,0.27,1351,3598,"-1,231",33.54%,"15:14 ET"
KRE|20231020|40.00P,KRE,39.93,Put,40,2023-10-20,17,1.28,1.29,1.29,1.3,2185,30429,"-1,222",35.47%,"15:21 ET"
SPY|20231117|380.00P,SPY,421.16,Put,380,2023-11-17,45,1.65,1.65,1.66,1.66,2923,36060,"-1,210",24.21%,"15:20 ET"
TLT|20231117|90.00P,TLT,85.07,Put,90,2023-11-17,45,5.6,5.65,5.7,5.61,13951,24741,"-1,205",22.13%,"14:58 ET"
EMB|20231117|81.00P,EMB,80.31,Put,81,2023-11-17,45,1.61,1.69,1.77,1.7,3850,11601,"-1,191",13.25%,"14:07 ET"
SPY|20231215|425.00C,SPY,421.16,Call,425,2023-12-15,73,13.15,13.16,13.17,13.15,1509,9608,"-1,169",17.68%,"15:21 ET"
SPY|20231020|423.00C,SPY,421.16,Call,423,2023-10-20,17,6.21,6.22,6.23,6.21,4806,3365,"-1,138",18.73%,"15:20 ET"
SPY|20231215|410.00P,SPY,421.16,Put,410,2023-12-15,73,8.24,8.25,8.26,8.32,1656,56843,"-1,137",19.28%,"15:18 ET"
EWZ|20231117|29.00P,EWZ,29.16,Put,29,2023-11-17,45,1.1,1.11,1.11,1.09,853,5805,"-1,104",29.89%,"15:03 ET"
XLE|20231020|94.00C,XLE,88.52,Call,94,2023-10-20,17,0.32,0.33,0.33,0.32,12145,33122,"-1,100",24.49%,"15:18 ET"
SPY|20240119|470.00C,SPY,421.16,Call,470,2024-01-19,108,1.18,1.19,1.2,1.17,1499,23520,"-1,098",12.89%,"15:14 ET"
QQQ|20240119|340.00P,QQQ,354.2,Put,340,2024-01-19,108,10.32,10.34,10.35,10.44,4721,39725,"-1,092",24.27%,"15:16 ET"
SPY|20231006|440.00P,SPY,421.16,Put,440,2023-10-06,3,18.89,19.03,19.17,19.18,5358,1668,"-1,084",28.69%,"15:11 ET"
IWM|20231006|175.00P,IWM,171.2,Put,175,2023-10-06,3,4.12,4.16,4.19,4.17,1523,6662,"-1,076",21.84%,"15:21 ET"
IWM|20231013|176.00P,IWM,171.2,Put,176,2023-10-13,10,5.5,5.54,5.57,5.59,3189,6609,"-1,073",20.51%,"15:12 ET"
ITB|20231020|73.00P,ITB,75.4,Put,73,2023-10-20,17,1.15,1.25,1.35,1.15,1133,2830,"-1,042",33.18%,"14:58 ET"
SPY|20231229|400.00P,SPY,421.16,Put,400,2023-12-29,87,6.84,6.86,6.87,7.01,1038,30709,"-1,041",20.55%,"15:14 ET"
IWM|20231215|180.00P,IWM,171.2,Put,180,2023-12-15,73,10.66,10.7,10.73,10.74,580,119364,"-1,033",18.92%,"15:16 ET"
SPY|20231117|436.00C,SPY,421.16,Call,436,2023-11-17,45,4.68,4.69,4.7,4.67,1925,9580,"-1,032",16.26%,"15:21 ET"
SQQQ|20231020|18.00C,SQQQ,21.13,Call,18,2023-10-20,17,3.25,3.3,3.35,3.22,797,8914,"-1,005",58.12%,"15:03 ET"
TLT|20231020|101.00P,TLT,85.07,Put,101,2023-10-20,17,15.9,15.95,16,15.96,49239,17219,"-1,001",40.03%,"15:19 ET"
EWC|20231215|34.00P,EWC,32.28,Put,34,2023-12-15,73,1.85,2.02,2.19,1.95,1000,943,"-1,000",16.48%,"10:46 ET"
KRE|20231215|38.00P,KRE,39.93,Put,38,2023-12-15,73,1.53,1.54,1.55,1.54,1523,5564,-996,35.50%,"15:10 ET"
SPY|20231117|430.00C,SPY,421.16,Call,430,2023-11-17,45,7.2,7.21,7.22,7.23,11779,11107,-974,17.17%,"15:21 ET"
SPY|20231215|425.00P,SPY,421.16,Put,425,2023-12-15,73,13.29,13.31,13.33,13.34,2344,46097,-960,17.08%,"15:18 ET"
SPY|20231215|405.00P,SPY,421.16,Put,405,2023-12-15,73,7.04,7.05,7.05,7.07,1568,30809,-955,20.02%,"15:21 ET"
SPY|20231020|422.00P,SPY,421.16,Put,422,2023-10-20,17,6.65,6.66,6.67,6.67,13868,20390,-954,17.94%,"15:18 ET"
SLV|20240119|24.00C,SLV,19.44,Call,24,2024-01-19,108,0.21,0.22,0.22,0.21,856,32338,-936,30.46%,"15:20 ET"
IWM|20240119|160.00P,IWM,171.2,Put,160,2024-01-19,108,3.62,3.64,3.65,3.62,5453,47580,-928,23.90%,"15:09 ET"
USO|20231006|78.00P,USO,79.85,Put,78,2023-10-06,3,0.3,0.32,0.35,0.33,1196,5924,-900,35.32%,"15:16 ET"
QQQ|20231215|335.00P,QQQ,354.2,Put,335,2023-12-15,73,6.77,6.78,6.79,6.79,548,70199,-896,25.18%,"15:21 ET"
QQQ|20231215|340.00P,QQQ,354.2,Put,340,2023-12-15,73,8.01,8.02,8.04,8.03,4506,91416,-892,24.48%,"15:18 ET"
GLD|20231020|170.00P,GLD,169.2,Put,170,2023-10-20,17,2.12,2.14,2.15,2.2,622,22109,-888,13.25%,"15:02 ET"
SPY|20231006|423.00P,SPY,421.16,Put,423,2023-10-06,3,4.04,4.05,4.06,4.05,16046,9271,-884,19.60%,"15:20 ET"
SPY|20231103|440.00C,SPY,421.16,Call,440,2023-11-03,31,2.02,2.03,2.04,2,1149,1916,-855,15.69%,"15:18 ET"
SPY|20231020|420.00P,SPY,421.16,Put,420,2023-10-20,17,5.81,5.82,5.83,5.82,59666,165053,-844,18.32%,"15:21 ET"
SPY|20231020|424.00C,SPY,421.16,Call,424,2023-10-20,17,5.68,5.69,5.7,5.64,4422,2999,-835,18.54%,"15:19 ET"
TLT|20231020|97.00P,TLT,85.07,Put,97,2023-10-20,17,11.9,11.98,12.05,12,3260,1037,-831,36.07%,"15:12 ET"
XLE|20231020|89.00P,XLE,88.52,Put,89,2023-10-20,17,2.09,2.1,2.11,2.17,2719,8606,-827,24.77%,"15:03 ET"
IWM|20231215|157.00P,IWM,171.2,Put,157,2023-12-15,73,2.11,2.12,2.13,2.05,1328,4596,-826,25.23%,"14:57 ET"
SPY|20231027|430.00P,SPY,421.16,Put,430,2023-10-27,24,11.75,11.78,11.8,11.81,1970,3830,-820,16.06%,"15:18 ET"
SPY|20231117|460.00P,SPY,421.16,Put,460,2023-11-17,45,38.64,39.02,39.4,39.22,1810,353,-816,18.87%,"15:11 ET"
IWM|20231006|176.00P,IWM,171.2,Put,176,2023-10-06,3,4.99,5.04,5.08,5.01,860,3596,-808,17.22%,"15:19 ET"
IWM|20240119|190.00C,IWM,171.2,Call,190,2024-01-19,108,1.58,1.6,1.61,1.6,519,43624,-790,18.01%,"15:20 ET"
SPY|20231006|432.50C,SPY,421.16,Call,432.5,2023-10-06,3,0.18,0.19,0.19,0.18,3793,2970,-759,18.74%,"15:20 ET"
ITB|20231020|79.00P,ITB,75.4,Put,79,2023-10-20,17,4.3,4.4,4.5,4.1,570,2220,-748,30.96%,"14:58 ET"
IWM|20231117|190.00P,IWM,171.2,Put,190,2023-11-17,45,18.89,18.95,19.01,19.05,13863,8891,-740,19.59%,"15:16 ET"
SPY|20231005|427.00P,SPY,421.16,Put,427,2023-10-05,2,6.27,6.32,6.38,6.35,3657,2886,-723,17.31%,"15:20 ET"
SPY|20231117|434.00C,SPY,421.16,Call,434,2023-11-17,45,5.45,5.46,5.47,5.45,2473,5697,-694,16.54%,"15:21 ET"
XLU|20231020|64.00P,XLU,56.86,Put,64,2023-10-20,17,7.05,7.1,7.15,7.2,5552,5288,-693,28.82%,"15:11 ET"
SPY|20231020|426.00P,SPY,421.16,Put,426,2023-10-20,17,8.62,8.64,8.65,8.7,5213,56691,-685,17.07%,"15:21 ET"
TLT|20240119|100.00P,TLT,85.07,Put,100,2024-01-19,108,14.85,14.93,15,15,941,9995,-674,23.18%,"15:12 ET"
IWM|20231006|168.00P,IWM,171.2,Put,168,2023-10-06,3,0.54,0.55,0.55,0.56,2333,4758,-670,26.72%,"15:15 ET"
QQQ|20231004|353.00P,QQQ,354.2,Put,353,2023-10-04,1,1.39,1.4,1.41,1.41,14504,2022,-668,25.86%,"15:21 ET"
IWM|20231006|171.00P,IWM,171.2,Put,171,2023-10-06,3,1.52,1.53,1.54,1.51,8117,9191,-663,25.13%,"15:18 ET"
TQQQ|20231020|40.00C,TQQQ,34.32,Call,40,2023-10-20,17,0.27,0.28,0.28,0.27,894,5776,-661,59.09%,"15:21 ET"
TLT|20231020|89.00P,TLT,85.07,Put,89,2023-10-20,17,4.2,4.25,4.3,4.3,620,11379,-660,23.52%,"15:21 ET"
IWM|20231020|180.00P,IWM,171.2,Put,180,2023-10-20,17,9.11,9.16,9.2,9.21,1451,111397,-658,18.46%,"15:17 ET"
ARKK|20231020|40.00C,ARKK,37.94,Call,40,2023-10-20,17,0.56,0.57,0.57,0.58,2539,2929,-656,39.94%,"15:20 ET"
HYG|20231117|69.00P,HYG,72.19,Put,69,2023-11-17,45,0.28,0.31,0.34,0.31,15045,169744,-646,14.47%,"14:49 ET"
QQQ|20231020|349.00P,QQQ,354.2,Put,349,2023-10-20,17,4.79,4.81,4.82,4.81,3027,3659,-640,24.27%,"15:20 ET"
SLV|20231020|21.00P,SLV,19.44,Put,21,2023-10-20,17,1.6,1.62,1.63,1.61,570,41530,-636,30.06%,"15:12 ET"
XLE|20231020|84.00P,XLE,88.52,Put,84,2023-10-20,17,0.53,0.54,0.55,0.66,806,20704,-630,28.02%,"14:10 ET"
EWZ|20231215|28.00P,EWZ,29.16,Put,28,2023-12-15,73,1.01,1.02,1.02,0.99,5886,29189,-620,30.98%,"14:45 ET"
IWM|20231013|164.00P,IWM,171.2,Put,164,2023-10-13,10,0.6,0.61,0.61,0.61,2724,2428,-603,26.05%,"15:15 ET"
LQD|20231020|107.00P,LQD,99.44,Put,107,2023-10-20,17,7.35,7.57,7.8,7.6,932,5212,-596,24.07%,"14:38 ET"
QQQ|20231006|351.00P,QQQ,354.2,Put,351,2023-10-06,3,2.05,2.06,2.07,2.1,4778,5111,-584,26.82%,"15:21 ET"
GLD|20231215|185.00C,GLD,169.2,Call,185,2023-12-15,73,0.51,0.52,0.53,0.51,4522,7533,-582,13.60%,"15:04 ET"
GLD|20231117|176.00C,GLD,169.2,Call,176,2023-11-17,45,1.01,1.02,1.03,1.03,514,1703,-581,12.56%,"14:45 ET"
TLT|20231020|87.50P,TLT,85.07,Put,87.5,2023-10-20,17,3.05,3.1,3.15,3.09,2657,6466,-576,22.64%,"15:03 ET"
SPY|20231117|427.00C,SPY,421.16,Call,427,2023-11-17,45,8.7,8.71,8.72,8.65,2036,3076,-575,17.65%,"15:20 ET"
IWM|20240315|175.00P,IWM,171.2,Put,175,2024-03-15,164,10.16,10.19,10.21,10.18,1275,35888,-570,20.65%,"15:20 ET"
KRE|20231020|42.00P,KRE,39.93,Put,42,2023-10-20,17,2.52,2.54,2.55,2.54,557,25865,-560,33.38%,"15:20 ET"
QQQ|20240119|385.00C,QQQ,354.2,Call,385,2024-01-19,108,5.77,5.78,5.79,5.73,584,17776,-550,18.99%,"15:15 ET"
SPY|20231117|440.00P,SPY,421.16,Put,440,2023-11-17,45,20.09,20.15,20.2,20.54,892,29536,-518,14.50%,"15:15 ET"
SPY|20231215|416.00P,SPY,421.16,Put,416,2023-12-15,73,9.97,9.99,10,9.96,719,3511,-506,18.40%,"15:00 ET"
SPY|20231005|415.00P,SPY,421.16,Put,415,2023-10-05,2,0.65,0.66,0.66,0.66,11636,5376,-486,21.52%,"15:21 ET"
XLF|20240119|32.00P,XLF,32.31,Put,32,2024-01-19,108,1.13,1.13,1.14,1.14,1282,58148,-484,20.60%,"15:14 ET"
QQQ|20231020|335.00P,QQQ,354.2,Put,335,2023-10-20,17,1.72,1.73,1.74,1.74,5730,36147,-483,27.14%,"15:20 ET"
QQQ|20231020|356.00P,QQQ,354.2,Put,356,2023-10-20,17,7.55,7.56,7.58,7.53,14348,22783,-474,22.68%,"15:20 ET"
SPY|20231012|423.00P,SPY,421.16,Put,423,2023-10-12,9,5.62,5.64,5.65,5.57,882,1079,-462,18.00%,"14:43 ET"
GDX|20240315|31.00C,GDX,26.08,Call,31,2024-03-15,164,0.75,0.79,0.83,0.75,1204,14690,-455,29.38%,"14:24 ET"
SPY|20231103|430.00C,SPY,421.16,Call,430,2023-11-03,31,5.35,5.36,5.37,5.37,2157,1578,-455,17.36%,"15:21 ET"
SLV|20231006|20.00P,SLV,19.44,Put,20,2023-10-06,3,0.63,0.65,0.66,0.66,966,2515,-453,42.53%,"14:54 ET"
IWM|20240315|175.00C,IWM,171.2,Call,175,2024-03-15,164,9.28,9.31,9.34,9.06,10107,13856,-450,21.27%,"14:02 ET"
SPY|20231020|435.00C,SPY,421.16,Call,435,2023-10-20,17,1.55,1.56,1.56,1.54,10948,19063,-448,16.21%,"15:21 ET"
IWM|20231117|172.00P,IWM,171.2,Put,172,2023-11-17,45,5.18,5.19,5.2,5.23,13190,18131,-441,21.11%,"15:10 ET"
QQQ|20231117|320.00P,QQQ,354.2,Put,320,2023-11-17,45,2.28,2.29,2.3,2.32,3640,12289,-437,27.91%,"15:12 ET"
SPY|20231020|450.00P,SPY,421.16,Put,450,2023-10-20,17,28.89,29.03,29.16,29.16,32315,7921,-434,20.03%,"15:17 ET"
SPY|20231020|446.00P,SPY,421.16,Put,446,2023-10-20,17,24.89,25.03,25.16,25,6869,3641,-431,17.93%,"15:20 ET"
IWM|20231020|176.00P,IWM,171.2,Put,176,2023-10-20,17,5.95,5.98,6,6.05,1351,56260,-428,20.26%,"15:13 ET"
SPY|20231020|429.00P,SPY,421.16,Put,429,2023-10-20,17,10.36,10.39,10.42,10.44,3086,31807,-427,16.39%,"15:19 ET"
IWM|20231117|175.00P,IWM,171.2,Put,175,2023-11-17,45,6.7,6.72,6.73,6.7,5496,79384,-424,20.20%,"15:20 ET"
IWM|20231020|160.00P,IWM,171.2,Put,160,2023-10-20,17,0.55,0.56,0.56,0.52,15170,16086,-424,26.73%,"14:56 ET"
QQQ|20231020|355.00C,QQQ,354.2,Call,355,2023-10-20,17,7.16,7.17,7.18,7.2,2926,7758,-423,23.72%,"15:19 ET"
QQQ|20231010|354.00P,QQQ,354.2,Put,354,2023-10-10,7,4.18,4.19,4.2,4.3,1318,841,-420,22.32%,"15:16 ET"
SPY|20231004|415.00P,SPY,421.16,Put,415,2023-10-04,1,0.28,0.29,0.29,0.29,18670,2494,-415,23.06%,"15:21 ET"
GLD|20231020|181.00P,GLD,169.2,Put,181,2023-10-20,17,11.7,11.75,11.8,11.85,669,128,-413,19.60%,"15:11 ET"
XLF|20231215|32.00P,XLF,32.31,Put,32,2023-12-15,73,0.91,0.92,0.92,0.9,12423,48556,-393,20.19%,"14:51 ET"
SPY|20231103|437.00C,SPY,421.16,Call,437,2023-11-03,31,2.82,2.83,2.83,2.77,580,1440,-392,16.18%,"15:10 ET"
IWM|20231020|178.00P,IWM,171.2,Put,178,2023-10-20,17,7.43,7.47,7.5,7.45,1486,40293,-391,19.19%,"15:20 ET"
TLT|20231117|103.00P,TLT,85.07,Put,103,2023-11-17,45,17.85,17.93,18,17.98,591,690,-390,33.45%,"15:13 ET"
SPY|20231013|412.00P,SPY,421.16,Put,412,2023-10-13,10,2.15,2.16,2.16,2.17,2082,3360,-384,20.57%,"15:20 ET"
SPY|20231005|428.00P,SPY,421.16,Put,428,2023-10-05,2,7.13,7.2,7.26,7.31,1017,1642,-382,16.45%,"15:18 ET"
SLV|20231117|20.00P,SLV,19.44,Put,20,2023-11-17,45,1.01,1.02,1.02,1.02,541,6653,-379,28.01%,"15:12 ET"
SPY|20231117|445.00P,SPY,421.16,Put,445,2023-11-17,45,24.2,24.27,24.34,24.65,752,25611,-379,13.66%,"15:08 ET"
SPY|20231020|427.00P,SPY,421.16,Put,427,2023-10-20,17,9.18,9.2,9.21,9.19,5624,25019,-375,16.84%,"15:21 ET"
QQQ|20231020|374.00C,QQQ,354.2,Call,374,2023-10-20,17,0.84,0.85,0.85,0.89,594,4125,-373,19.95%,"14:46 ET"
IWM|20231117|185.00C,IWM,171.2,Call,185,2023-11-17,45,0.83,0.84,0.85,0.83,1394,9499,-372,19.18%,"15:20 ET"
IWM|20231020|173.00P,IWM,171.2,Put,173,2023-10-20,17,4.11,4.12,4.13,4.13,4221,28102,-371,21.54%,"15:20 ET"
IWM|20231117|170.00P,IWM,171.2,Put,170,2023-11-17,45,4.33,4.34,4.35,4.35,17433,34932,-370,21.73%,"15:21 ET"
QQQ|20231006|361.00C,QQQ,354.2,Call,361,2023-10-06,3,0.93,0.94,0.95,0.92,5555,4656,-364,25.34%,"15:21 ET"
SPY|20231117|431.00C,SPY,421.16,Call,431,2023-11-17,45,6.74,6.75,6.76,6.71,4229,4066,-359,17.02%,"15:19 ET"
SPY|20231117|446.00C,SPY,421.16,Call,446,2023-11-17,45,1.89,1.9,1.9,1.89,3233,13033,-354,14.90%,"15:21 ET"
XRT|20240119|60.00P,XRT,59.23,Put,60,2024-01-19,108,3.3,3.35,3.4,3.35,13215,28142,-346,25.46%,"14:47 ET"
SPY|20231117|428.00P,SPY,421.16,Put,428,2023-11-17,45,12.49,12.5,12.52,12.59,536,5837,-338,16.37%,"15:19 ET"
SPY|20231020|428.00P,SPY,421.16,Put,428,2023-10-20,17,9.76,9.78,9.8,9.78,3074,30616,-334,16.63%,"15:20 ET"
IWM|20231117|173.00P,IWM,171.2,Put,173,2023-11-17,45,5.65,5.66,5.67,5.65,4007,54729,-331,20.77%,"15:17 ET"
SPY|20231020|448.00C,SPY,421.16,Call,448,2023-10-20,17,0.13,0.14,0.14,0.13,740,13002,-329,14.32%,"15:18 ET"
SPY|20231103|441.00C,SPY,421.16,Call,441,2023-11-03,31,1.8,1.81,1.81,1.81,846,1851,-327,15.55%,"15:18 ET"
SPY|20231117|403.00P,SPY,421.16,Put,403,2023-11-17,45,4.3,4.31,4.32,4.35,1798,5629,-324,20.30%,"15:18 ET"
SPY|20231006|410.00P,SPY,421.16,Put,410,2023-10-06,3,0.46,0.46,0.47,0.47,16082,27620,-317,23.86%,"15:21 ET"
EFA|20231215|75.00P,EFA,67.06,Put,75,2023-12-15,73,7.9,8.08,8.25,8,3160,1710,-311,18.19%,"15:11 ET"
GLD|20231020|179.00P,GLD,169.2,Put,179,2023-10-20,17,9.7,9.75,9.8,9.85,1370,841,-308,17.03%,"15:11 ET"
SPY|20231013|428.00P,SPY,421.16,Put,428,2023-10-13,10,8.74,8.77,8.8,9.06,2948,3975,-306,16.83%,"15:15 ET"
